Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Broccoli,REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,0907400000,0,0,0,..,..,0,0
Broccoli,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,0908300000,0,0,0,0,0,0,0
Broccoli,REGION X (NORTHERN MINDANAO),Bukidnon,1001300000,837.52,835.2,810.71,803.21,1194.68,1235.52,411.33
Broccoli,REGION X (NORTHERN MINDANAO),Camiguin,1001800000,0,0.19,0,0,0,0,0
Broccoli,REGION X (NORTHERN MINDANAO),Lanao del Norte,1003500000,0,0,0,0,0,0,0
Broccoli,REGION X (NORTHERN MINDANAO),Misamis Occidental,1004200000,1.11,1.43,0.56,0,0,0,0
Broccoli,REGION X (NORTHERN MINDANAO),Misamis Oriental,1004300000,46.63,46.26,80.25,85.93,68.15,80.7,11
Broccoli,REGION XI (DAVAO REGION),Davao de Oro,1108200000,0,0,0,0,0,0,0
Broccoli,REGION XI (DAVAO REGION),Davao del Norte,1102300000,0,0,0,0,0,0,0
Broccoli,REGION XI (DAVAO REGION),Davao del Sur,1102400000,0,0,0,16.7,20.75,2.11,0
Broccoli,REGION XI (DAVAO REGION),City of Davao,1130700000,20.83,20.72,21.07,..,..,20.91,2.11
Broccoli,REGION XI (DAVAO REGION),Davao Occidental,1108600000,0,0,0,0,0,0,0
Broccoli,REGION XI (DAVAO REGION),Davao Oriental,1102500000,0,0,0,0,0,0,0
Broccoli,REGION XII (SOCCSKSARGEN),Cotabato,1204700000,0,1.6,0.2,0,0,0,0
Broccoli,REGION XII (SOCCSKSARGEN),Sarangani,1208000000,0,0,0,0,0,0,0
Broccoli,REGION XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0,0,0,0,0,0,0
Broccoli,REGION XII (SOCCSKSARGEN),South Cotabato,1206300000,6.37,7.27,6.96,7.68,5.88,5.54,1.98
Broccoli,REGION XIII (CARAGA),Agusan del Norte,1600200000,0,0,0,0,0,0,0
Broccoli,REGION XIII (CARAGA),City of Butuan,1630400000,..,..,..,..,..,..,0
Broccoli,REGION XIII (CARAGA),Agusan del Sur,1600300000,0,0,0,0,0,0,0
Broccoli,REGION XIII (CARAGA),Dinagat Islands,1608500000,0,0.15,0,0,0,0,0
Broccoli,REGION XIII (CARAGA),Surigao del Norte,1606700000,0,0,0,0,0,0,0
Broccoli,REGION XIII (CARAGA),Surigao del Sur,1606800000,0,0,0,0,0,0,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Basilan,1900700000,0,0,0,0,0,0,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Lanao del Sur,1903600000,0,0,0,0,0,73.74,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao,1908800000,0,0,0,0,0,0,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Norte,1908700000,..,..,..,..,..,0,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Maguindanao del Sur,1908800000,..,..,..,..,..,0,0
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Sulu,0906600000,0,0,0,0,0,0,..
Broccoli,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,Tawi-tawi,1907000000,0,0,0,0,0,0,0
