Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08048,Northern Samar,8348.00,7979.81,7845.76,7576.00,7588.00
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08060,Samar,20305.76,20213.05,20249.53,19863.76,21806.90
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08064,Southern Leyte,73845.00,58026.65,57623.70,55604.00,47896.40
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),PH09072,Zamboanga del Norte,67747.05,62406.30,58944.38,59779.68,67063.44
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),PH09073,Zamboanga del Sur,275949.29,269566.38,307773.75,305413.91,309682.78
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),PH09083,Zamboanga Sibugay,85979.65,87154.92,92722.89,81613.60,93808.51
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),PH09074,Zamboanga City,0.00,0.00,0.00,0.00,16336.88
Irrigated Palay,REGION X (NORTHERN MINDANAO),PH10013,Bukidnon,440963.53,448171.20,450130.58,441062.33,448882.78
Irrigated Palay,REGION X (NORTHERN MINDANAO),PH10018,Camiguin,2085.60,2168.09,2423.54,2058.87,2186.14
Irrigated Palay,REGION X (NORTHERN MINDANAO),PH10035,Lanao del Norte,165534.80,171424.30,173776.65,165847.89,182900.12
Irrigated Palay,REGION X (NORTHERN MINDANAO),PH10042,Misamis Occidental,80715.00,78170.61,75959.00,74497.00,78099.00
Irrigated Palay,REGION X (NORTHERN MINDANAO),PH10043,Misamis Oriental,19896.34,20980.84,22295.30,20975.11,18572.49
Irrigated Palay,REGION XI (DAVAO REGION),PH11082,Davao de Oro (Compostela Valley),117055.00,113967.00,120524.00,116108.00,118753.00
Irrigated Palay,REGION XI (DAVAO REGION),PH11023,Davao del Norte,123466.71,126989.72,131075.46,128795.41,136323.71
Irrigated Palay,REGION XI (DAVAO REGION),PH11024,Davao del Sur,134591.41,138972.65,141493.50,150012.05,154262.13
Irrigated Palay,REGION XI (DAVAO REGION),PH11086,Davao Occidental,1822.13,1862.88,1891.06,2037.55,1991.44
Irrigated Palay,REGION XI (DAVAO REGION),PH11025,Davao Oriental,61263.11,61153.64,61090.03,61375.96,61140.91
Irrigated Palay,REGION XII (SOCCSKSARGEN),PH12047,Cotabato (North Cotabato),403385.00,417282.00,398842.00,386514.00,383604.00
Irrigated Palay,REGION XII (SOCCSKSARGEN),PH12080,Sarangani,34471.85,33344.44,33792.97,30927.14,33945.37
Irrigated Palay,REGION XII (SOCCSKSARGEN),PH12063,South Cotabato,266624.00,255029.00,262509.00,254589.00,255047.14
Irrigated Palay,REGION XII (SOCCSKSARGEN),PH12065,Sultan Kudarat,363140.24,337616.00,353105.20,334063.00,327733.00
Irrigated Palay,REGION XIII (CARAGA),PH16002,Agusan del Norte,56894.00,64808.16,69718.10,70421.55,71458.00
Irrigated Palay,REGION XIII (CARAGA),PH16003,Agusan del Sur,136558.65,143687.30,162493.78,166765.40,162580.08
Irrigated Palay,REGION XIII (CARAGA),PH16085,Dinagat Islands,4208.35,4535.89,3921.71,4244.00,4652.02
Irrigated Palay,REGION XIII (CARAGA),PH16067,Surigao del Norte,44624.45,42193.28,47394.00,48087.00,45955.00
Irrigated Palay,REGION XIII (CARAGA),PH16068,Surigao del Sur,54740.69,57160.29,56530.00,68395.00,64014.00
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19007,Basilan,426.00,661.41,584.00,595.00,775.60
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19036,Lanao del Sur,63796.50,65290.30,65435.77,65607.91,65758.15
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19087,Maguindanao del Norte,0,0,0,78781.91,84251.00
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19088,Maguindanao del Sur,137707.85,160519.88,186856.60,107573.10,115444.19
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19066,Sulu,78.00,0.00,0.00,0.00,0.00
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,PH19070,Tawi-tawi,0.00,0.00,0.00,0.00,0.00
