Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Banana,1606800000,Surigao del Sur,108470.15,88191.44,80470.04,111647.18,105157.37,22201.29
Banana,1608500000,Dinagat Islands,346.13,69.22,454.61,551.68,764.01,61.25
Banana,1630400000,Butuan City,,,,,,3439.44
Banana,1704000000,Marinduque,461.29,517.06,642.34,1047.94,6902.43,1240.29
Banana,1705100000,Occidental Mindoro,3591.64,4106.25,3970.04,3760.82,3360.83,1672.05
Banana,1705200000,Oriental Mindoro,26918.73,39975.58,40368.1,61267.07,83627.86,793.08
Banana,1705300000,Palawan,32290.66,23602.48,24923.47,23512.71,23309.49,8920.28
Banana,1705900000,Romblon,4142.63,4383.15,3751.45,5287.28,6880.1,2248.7
Banana,1731500000,Puerto Princesa City,,,,,,2105.42
Banana,1804500000,Negros Occidental,89007.87,88785.0,95244.87,94485.89,92517.24,24950.32
Banana,1804600000,Negros Oriental,82915.0,61607.28,82518.07,67656.42,70595.5,23972.69
Banana,1806100000,Siquijor,15092.35,14945.65,15784.73,15007.99,15321.87,6769.56
Banana,1830200000,Bacolod City,,,,,,1.24
Banana,1900700000,Basilan,21193.92,21485.69,21692.54,19340.11,18882.28,3931.05
Banana,1903600000,Lanao del Sur,112566.75,112601.16,113404.67,113794.15,114624.12,36765.7
Banana,1907000000,Tawi-Tawi,8450.86,8629.6,8613.69,8658.6,9252.88,1685.43
Banana,1908700000,Maguindanao del Norte,,,,,161570.24,35398.73
Banana,1908800000,Maguindanao del Sur,438033.0,441503.72,442352.77,347409.27,218610.08,60734.44
