Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
"Peanut, with shell, dry",Region VIII,Eastern Samar,0802600000,3.00,1.00,1.00,1.02,19.79,11.36,0.09
"Peanut, with shell, dry",Region VIII,Leyte,0803700000,198.87,200.96,197.51,192.08,199.26,195.64,32.85
"Peanut, with shell, dry",Region VIII,Northern Samar,0804800000,62.72,65.29,66.93,67.65,65.68,20.69,1.66
"Peanut, with shell, dry",Region VIII,Samar,0806000000,183.09,185.46,206.84,230.94,175.36,170.41,0.00
"Peanut, with shell, dry",Region VIII,Southern Leyte,0806400000,11.04,11.26,7.80,8.94,9.12,7.83,1.10
"Peanut, with shell, dry",Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,21.70
"Peanut, with shell, dry",Region IX,Zamboanga del Norte,0907200000,119.32,114.51,116.36,77.99,76.40,90.11,8.00
"Peanut, with shell, dry",Region IX,Zamboanga del Sur,0907300000,854.41,920.86,1032.20,809.64,961.81,169.37,37.00
"Peanut, with shell, dry",Region IX,City of Zamboanga,0907400000,67.42,71.10,71.82,0.00,0.00,312.52,106.01
"Peanut, with shell, dry",Region IX,Zamboanga Sibugay,0908300000,70.13,80.95,89.48,83.30,81.60,79.86,5.32
"Peanut, with shell, dry",Region X,Bukidnon,1001300000,586.50,634.98,601.99,593.25,613.43,647.44,256.04
"Peanut, with shell, dry",Region X,Camiguin,1001800000,8.96,10.29,12.27,10.35,9.81,11.48,2.00
"Peanut, with shell, dry",Region X,Lanao del Norte,1003500000,1928.00,1929.00,1948.00,1953.75,1953.00,1949.00,615.33
"Peanut, with shell, dry",Region X,Misamis Occidental,1004200000,29.39,31.00,34.83,37.71,36.81,37.73,5.81
"Peanut, with shell, dry",Region X,Misamis Oriental,1004300000,44.91,44.97,51.49,53.11,43.30,60.74,14.78
"Peanut, with shell, dry",Region XI,Davao de Oro,1108200000,152.78,150.98,145.91,141.41,135.53,131.83,22.03
"Peanut, with shell, dry",Region XI,Davao del Norte,1102300000,74.03,74.83,77.25,78.36,77.76,75.36,10.84
"Peanut, with shell, dry",Region XI,Davao del Sur,1102400000,60.14,60.74,59.13,326.72,346.15,174.37,22.78
"Peanut, with shell, dry",Region XI,City of Davao,1130700000,301.26,300.59,276.24,0.00,0.00,117.10,51.36
"Peanut, with shell, dry",Region XI,Davao Occidental,1108600000,6.12,5.81,6.18,6.01,5.92,5.92,0.81
"Peanut, with shell, dry",Region XI,Davao Oriental,1102500000,34.14,33.89,32.27,32.98,31.52,32.05,5.60
"Peanut, with shell, dry",Region XII,Cotabato,1204700000,170.46,138.60,112.37,90.07,70.26,120.53,23.40
"Peanut, with shell, dry",Region XII,Sarangani,1208000000,33.01,34.40,34.80,51.49,67.00,96.44,29.00
"Peanut, with shell, dry",Region XII,Sultan Kudarat,1206500000,419.39,412.72,388.13,427.60,448.80,512.94,190.70
"Peanut, with shell, dry",Region XII,South Cotabato,1206300000,44.72,44.46,51.77,47.91,134.92,79.61,10.79
"Peanut, with shell, dry",Region XIII,Agusan del Norte,1600200000,19.63,19.34,20.32,20.37,17.50,18.19,0.56
"Peanut, with shell, dry",Region XIII,City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00,0.29
"Peanut, with shell, dry",Region XIII,Agusan del Sur,1600300000,230.60,210.69,217.42,213.03,211.00,212.37,0.47
"Peanut, with shell, dry",Region XIII,Dinagat Islands,1608500000,4.48,6.06,5.97,1.61,1.31,0.67,0.02
"Peanut, with shell, dry",Region XIII,Surigao del Norte,1606700000,5.18,4.20,1.60,3.03,7.60,1.25,2.98
"Peanut, with shell, dry",Region XIII,Surigao del Sur,1606800000,40.00,40.86,33.91,1.99,2.13,0.23,0.08
"Peanut, with shell, dry",BARMM,Basilan,1900700000,49.03,50.14,51.98,50.97,45.00,7.25,1.85
"Peanut, with shell, dry",BARMM,Lanao del Sur,1903600000,197.44,199.20,200.27,1549.93,1536.47,1587.94,49.65
"Peanut, with shell, dry",BARMM,Maguindanao,,160.60,167.80,170.55,174.50,98.42,198.62,51.15
"Peanut, with shell, dry",BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,188.33,47.65
"Peanut, with shell, dry",BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,10.29,3.50
"Peanut, with shell, dry",BARMM,Sulu,0906600000,159.70,162.20,161.30,164.50,165.00,121.31,0.00
"Peanut, with shell, dry",BARMM,Tawi-tawi,1907000000,29.82,28.56,27.16,24.49,19.40,6.70,0.00
