Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lemon Grass,Region IX,Zamboanga del Norte,0907200000,7.48,8.02,9.30,10.98,12.28,12.94,1.22
Lemon Grass,Region IX,Zamboanga del Sur,0907300000,40.81,43.49,45.57,67.25,67.24,45.65,10.80
Lemon Grass,Region IX,City of Zamboanga,0907400000,27.02,30.40,31.39,0.00,0.00,16.36,5.61
Lemon Grass,Region IX,Zamboanga Sibugay,0908300000,9.04,9.53,9.26,9.35,9.61,10.44,3.16
Lemon Grass,Region X,Bukidnon,1001300000,481.53,500.38,503.50,513.59,499.46,506.58,48.68
Lemon Grass,Region X,Camiguin,1001800000,37.97,45.48,54.75,62.54,57.10,90.28,29.68
Lemon Grass,Region X,Lanao del Norte,1003500000,179.98,182.00,180.45,184.90,184.60,187.80,6.46
Lemon Grass,Region X,Misamis Occidental,1004200000,35.18,37.70,46.12,53.07,53.83,82.68,37.93
Lemon Grass,Region X,Misamis Oriental,1004300000,332.65,333.60,395.07,447.85,441.60,442.03,157.00
Lemon Grass,Region XI,Davao de Oro,1108200000,20.00,20.61,22.56,43.32,47.72,50.16,8.79
Lemon Grass,Region XI,Davao del Norte,1102300000,9.76,10.37,10.80,11.02,11.21,12.18,1.85
Lemon Grass,Region XI,Davao del Sur,1102400000,123.24,124.57,124.79,179.25,176.83,126.89,18.69
Lemon Grass,Region XI,City of Davao,1130700000,45.07,47.64,50.35,0.00,0.00,28.09,9.73
Lemon Grass,Region XI,Davao Occidental,1108600000,0.24,0.24,0.26,0.31,0.36,0.81,0.21
Lemon Grass,Region XI,Davao Oriental,1102500000,15.89,15.49,15.99,15.38,16.12,16.42,4.79
Lemon Grass,Region XII,Cotabato,1204700000,30.73,31.45,32.53,31.74,26.42,34.51,9.26
Lemon Grass,Region XII,Sarangani,1208000000,4.16,4.28,4.34,3.89,4.16,4.30,0.39
Lemon Grass,Region XII,Sultan Kudarat,1206500000,9.34,11.55,13.50,15.24,16.00,16.70,4.20
Lemon Grass,Region XII,South Cotabato,1206300000,24.46,23.61,25.50,29.64,18.26,47.69,0.25
Lemon Grass,Region XIII,Agusan del Norte,1600200000,125.00,131.20,133.31,138.68,132.95,141.95,14.02
