fid,ADM1_EN,ADM1_PCODE,Region,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),0100000000,Region I,44328.92,47226.9,48459.85,49250.54,51161.84
2,Region II (Cagayan Valley),0200000000,Region II,82663.58,84115.23,87374.67,83513.11,80423.67
3,Region III (Central Luzon),0300000000,Region III,100856.26,101477.93,92803.86,87338.76,52281.07
4,Region IV-A (Calabarzon),0400000000,CALABARZON,1509582.24,1528897.85,1546444.15,1483543.65,1518707.59
5,Region V (Bicol Region),0500000000,Region V,1111200.07,1261733.36,1184687.56,1153951.15,1033620.09
6,Region VI (Western Visayas),0600000000,Region VI,554684.14,576411.27,579758.5,440386.95,424452.56
7,Region VII (Central Visayas),0700000000,Region VII,411696.83,300047.09,410285.66,231163.24,223992.43
8,Region VIII (Eastern Visayas),0800000000,Region VIII,1115775.39,1114666.79,1189077.03,1189665.28,1160691.34
9,Region IX (Zamboanga Peninsula),0900000000,Region IX,1800694.99,1845408.31,1847480.29,1819935.58,1788303.34
10,Region X (Northern Mindanao),1000000000,Region X,1864904.24,1872149.94,1888759.82,1808616.85,1830360.99
11,Region XI (Davao Region),1100000000,Region XI,1983241.63,2012425.16,1987785.6,1969491.77,1997797.37
12,Region XII (Soccsksargen),1200000000,Region XII,1213695.23,1230020.14,1223779.74,1162498.68,1173208.43
13,National Capital Region (NCR),1300000000,NCR,0,0,0,0,0
14,Cordillera Administrative Region (CAR),1400000000,CAR,1064.64,1133.58,1148.3,1143.32,1141.64
15,Region XIII (Caraga),1600000000,Region XIII,757116.51,676721.78,642939.67,656836.73,689995.08
16,Mimaropa Region,1700000000,MIMAROPA,803357.35,905922.52,796861.48,800868.32,815061.9
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),1900000000,BARMM,1362431.88,1372800.44,1364982.22,1277838.96,1404024.73
18,Negros Island Region (NIR),1800000000,NIR,0,0,0,284373.36,261383.01
