Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sweet Potato Leaves,Region VIII,Leyte,0803700000,632.72,644.55,592.38,560.73,444.96,450.80,101.50
Sweet Potato Leaves,Region VIII,Northern Samar,0804800000,167.85,168.85,173.00,174.05,177.55,184.05,90.00
Sweet Potato Leaves,Region VIII,Samar,0806000000,1144.60,1179.01,1215.50,1116.88,670.78,688.58,272.48
Sweet Potato Leaves,Region VIII,Southern Leyte,0806400000,18.74,19.33,17.35,18.82,23.55,62.22,11.13
Sweet Potato Leaves,Region IX,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00,30.83
Sweet Potato Leaves,Region IX,Zamboanga del Norte,0907200000,691.23,698.05,749.59,404.70,346.73,362.31,34.04
Sweet Potato Leaves,Region IX,Zamboanga del Sur,0907300000,68.91,70.82,73.15,2195.44,1731.22,694.05,19.00
Sweet Potato Leaves,Region IX,City of Zamboanga,0907400000,1469.25,1549.19,1611.65,0.00,0.00,5.34,2.61
Sweet Potato Leaves,Region IX,Zamboanga Sibugay,0908300000,20.65,22.25,20.27,19.98,20.31,24.31,3.77
Sweet Potato Leaves,Region X,Bukidnon,1001300000,1090.83,1178.04,1121.39,967.69,238.48,149.06,15.50
Sweet Potato Leaves,Region X,Camiguin,1001800000,30.09,36.74,34.00,28.26,24.85,26.13,5.54
Sweet Potato Leaves,Region X,Lanao del Norte,1003500000,1192.00,1197.00,1201.00,1203.10,1191.50,1199.00,232.40
Sweet Potato Leaves,Region X,Misamis Occidental,1004200000,629.59,639.00,642.30,640.88,649.38,674.53,128.81
Sweet Potato Leaves,Region X,Misamis Oriental,1004300000,2181.36,2041.62,2405.95,2394.97,2075.92,2047.56,142.94
Sweet Potato Leaves,Region XI,Davao de Oro,1108200000,757.55,741.21,741.73,738.55,710.23,697.12,103.78
Sweet Potato Leaves,Region XI,Davao del Norte,1102300000,2348.65,2343.30,2344.74,2326.20,2333.83,2364.80,450.45
Sweet Potato Leaves,Region XI,Davao del Sur,1102400000,944.22,950.26,950.82,1396.47,1364.97,879.48,169.97
Sweet Potato Leaves,Region XI,City of Davao,1130700000,438.75,442.49,461.73,0.00,0.00,221.53,77.19
Sweet Potato Leaves,Region XI,Davao Occidental,1108600000,21.77,21.15,21.35,22.77,22.45,22.54,8.10
Sweet Potato Leaves,Region XI,Davao Oriental,1102500000,625.59,599.18,626.47,579.36,545.71,539.20,149.79
Sweet Potato Leaves,Region XII,Cotabato,1204700000,2094.29,1886.43,1711.12,1402.47,1124.58,1180.74,116.07
Sweet Potato Leaves,Region XII,Sarangani,1208000000,913.00,914.40,925.20,426.50,444.30,457.00,32.43
Sweet Potato Leaves,Region XII,Sultan Kudarat,1206500000,391.09,386.11,386.81,374.62,251.15,345.11,113.24
Sweet Potato Leaves,Region XII,South Cotabato,1206300000,567.39,547.52,627.28,679.52,406.20,428.21,19.16
Sweet Potato Leaves,Region XIII,Agusan del Norte,1600200000,135.00,157.26,127.45,148.82,141.01,137.70,35.73
Sweet Potato Leaves,Region XIII,City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00,18.41
Sweet Potato Leaves,Region XIII,Agusan del Sur,1600300000,287.68,307.71,309.87,179.06,194.38,201.15,14.75
Sweet Potato Leaves,Region XIII,Dinagat Islands,1608500000,4.29,4.54,5.65,6.41,8.25,8.40,1.45
Sweet Potato Leaves,Region XIII,Surigao del Norte,1606700000,28.83,30.44,24.09,23.99,42.03,27.33,6.45
Sweet Potato Leaves,Region XIII,Surigao del Sur,1606800000,31.16,30.81,45.55,46.18,54.73,75.43,3.31
Sweet Potato Leaves,BARMM,Basilan,1900700000,193.68,204.36,215.08,138.89,81.79,5.07,0.93
Sweet Potato Leaves,BARMM,Lanao del Sur,1903600000,1246.78,1246.41,1246.52,801.17,799.75,793.70,152.40
Sweet Potato Leaves,BARMM,Maguindanao,,4169.10,4180.75,4187.70,4197.00,1825.40,1971.00,648.89
Sweet Potato Leaves,BARMM,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,1151.60,220.00
Sweet Potato Leaves,BARMM,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,819.40,428.89
Sweet Potato Leaves,BARMM,Sulu,0906600000,157.70,159.50,160.00,164.00,164.00,166.52,0.00
Sweet Potato Leaves,BARMM,Tawi-tawi,1907000000,65.97,66.06,65.68,56.29,50.44,44.48,0.75
