Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Lettuce,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0.00,0.00,0.00,0.00,0.28,0.81
Lettuce,Region IX (Zamboanga Peninsula),Sulu ,0906600000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0.07,0.26,0.45,4.21,4.49,6.46
Lettuce,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0.00,0.00,0.00,78.16,21.97,16.00
Lettuce,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,23.16,13.93,0.00,0.00,0.00,5.19
Lettuce,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region X (Northern Mindanao),Bukidnon,1001300000,1683.94,1709.32,1781.32,1696.09,2249.33,2349.78
Lettuce,Region X (Northern Mindanao),Camiguin,1001800000,0.68,0.56,0.80,0.54,0.61,0.91
Lettuce,Region X (Northern Mindanao),Lanao del Norte,1003500000,0.00,5.00,0.00,1.06,1.01,1.04
Lettuce,Region X (Northern Mindanao),Misamis Occidental,1004200000,0.40,0.63,1.70,2.02,2.10,13.59
Lettuce,Region X (Northern Mindanao),Misamis Oriental,1004300000,32.27,29.07,33.70,49.42,39.33,40.36
Lettuce,Region XI (Davao Region),Davao de Oro,1108200000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XI (Davao Region),Davao del Norte,1102300000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XI (Davao Region),Davao del Sur,1102400000,1.15,1.20,1.24,135.02,133.81,27.57
Lettuce,Region XI (Davao Region),City of Davao,1130700000,61.40,63.67,133.11,0.00,0.00,76.74
Lettuce,Region XI (Davao Region),Davao Occidental,1108600000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XI (Davao Region),Davao Oriental,1102500000,0.00,0.00,0.00,0.07,0.00,0.00
Lettuce,Region XII (SOCCSKSARGEN),Cotabato,1204700000,41.06,34.97,29.12,20.19,20.69,13.13
Lettuce,Region XII (SOCCSKSARGEN),Sarangani,1208000000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XII (SOCCSKSARGEN),South Cotabato,1206300000,0.39,0.43,0.50,5.79,6.85,5.83
Lettuce,Region XIII (Caraga),Agusan del Norte,1600200000,0.00,0.00,0.35,0.57,0.48,0.48
Lettuce,Region XIII (Caraga),City of Butuan,1630400000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Region XIII (Caraga),Agusan del Sur,1600300000,0.00,0.40,0.45,0.10,0.00,0.00
Lettuce,Region XIII (Caraga),Dinagat Islands,1608500000,0.00,0.02,0.00,0.00,0.00,0.07
Lettuce,Region XIII (Caraga),Surigao del Norte,1606700000,1.97,1.40,0.01,0.00,0.69,1.24
Lettuce,Region XIII (Caraga),Surigao del Sur,1606800000,0.21,0.22,0.23,0.00,0.00,1.19
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)3,Basilan,1900700000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)4,Lanao del Sur,1903600000,0.00,0.05,0.05,0.05,0.00,0.00
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)5,Maguindanao,,1.23,1.52,1.77,2.00,33.60,141.44
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)6,Maguindanao del Norte,1908700000,0.00,0.00,0.00,0.00,0.00,122.78
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)7,Maguindanao del Sur,1908800000,0.00,0.00,0.00,0.00,0.00,18.66
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)8,Sulu,0906600000,0.00,0.00,0.00,0.00,0.00,0.00
Lettuce,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)9,Tawi-tawi,1907000000,0.00,0.00,0.00,0.00,0.00,0.00
